anio,semana,fecha_inicio,entidad_federativa,ciudad_sede,enfermedad,casos_semana,fuente,baseline_mean,baseline_std,umbral_alerta,zscore,anomalia_zscore,anomalia_iqr,anomalia_rel,n_metodos,anomalia
2016,3,2016-01-18,Nuevo León,Monterrey,Sarampion,0,boletin_pdf,0.0,0.0,0.0,0.0,False,False,False,0,False
2016,4,2016-01-25,Ciudad de México,CDMX,Erisipela,0,boletin_pdf,4.5,6.60807586719967,17.71615173439934,-0.6809849176121797,False,False,False,0,False
2016,4,2016-01-25,Ciudad de México,CDMX,Escarlatina,0,boletin_pdf,6.0,6.928203230275509,19.856406460551018,-0.8660254037844387,False,False,False,0,False
2016,4,2016-01-25,Ciudad de México,CDMX,Rubeola,0,boletin_pdf,0.0,0.0,0.0,0.0,False,False,False,0,False
2016,4,2016-01-25,Ciudad de México,CDMX,Sarampion,0,boletin_pdf,0.0,0.0,0.0,0.0,False,False,False,0,False
2016,4,2016-01-25,Jalisco,Guadalajara,Erisipela,12,boletin_pdf,9.0,3.8297084310253524,16.659416862050705,0.7833494518006403,False,False,False,0,False
2016,4,2016-01-25,Jalisco,Guadalajara,Escarlatina,8,boletin_pdf,5.0,3.8297084310253524,12.659416862050705,0.7833494518006403,False,False,False,0,False
2016,4,2016-01-25,Jalisco,Guadalajara,Rubeola,0,boletin_pdf,0.0,0.0,0.0,0.0,False,False,False,0,False
2016,4,2016-01-25,Jalisco,Guadalajara,Sarampion,0,boletin_pdf,0.0,0.0,0.0,0.0,False,False,False,0,False
2016,4,2016-01-25,Nuevo León,Monterrey,Erisipela,62,boletin_pdf,55.5,5.507570547286103,66.5151410945722,1.1801936887041644,False,False,False,0,False
2016,4,2016-01-25,Nuevo León,Monterrey,Escarlatina,10,boletin_pdf,4.0,4.320493798938574,12.640987597877148,1.3887301496588271,False,False,False,0,False
2016,4,2016-01-25,Nuevo León,Monterrey,Rubeola,0,boletin_pdf,0.0,0.0,0.0,0.0,False,False,False,0,False
2016,4,2016-01-25,Nuevo León,Monterrey,Sarampion,0,boletin_pdf,0.0,0.0,0.0,0.0,False,False,False,0,False
2016,5,2016-02-01,Ciudad de México,CDMX,Erisipela,0,boletin_pdf,6.5,8.54400374531753,23.58800749063506,-0.7607674567748487,False,False,False,0,False
2016,5,2016-02-01,Ciudad de México,CDMX,Escarlatina,0,boletin_pdf,8.0,10.456258094238748,28.912516188477497,-0.7650920556760059,False,False,False,0,False
2016,5,2016-02-01,Ciudad de México,CDMX,Rubeola,0,boletin_pdf,0.0,0.0,0.0,0.0,False,False,False,0,False
2016,5,2016-02-01,Ciudad de México,CDMX,Sarampion,0,boletin_pdf,0.0,0.0,0.0,0.0,False,False,False,0,False
2016,5,2016-02-01,Jalisco,Guadalajara,Erisipela,6,boletin_pdf,8.0,3.6514837167011076,15.302967433402216,-0.5477225575051661,False,False,False,0,False
2016,5,2016-02-01,Jalisco,Guadalajara,Escarlatina,10,boletin_pdf,5.0,3.4641016151377544,11.928203230275509,1.4433756729740645,False,True,False,1,False
2016,5,2016-02-01,Jalisco,Guadalajara,Rubeola,0,boletin_pdf,0.0,0.0,0.0,0.0,False,False,False,0,False
2016,5,2016-02-01,Jalisco,Guadalajara,Sarampion,0,SEFE_pdf,0.0,0.0,0.0,0.0,False,False,False,0,False
2016,5,2016-02-01,Jalisco,Guadalajara,Sarampion,0,boletin_pdf,0.0,0.0,0.0,0.0,False,False,False,0,False
2016,5,2016-02-01,Nuevo León,Monterrey,Erisipela,68,boletin_pdf,69.0,7.745966692414834,84.49193338482966,-0.12909944487358055,False,False,False,0,False
